Accession,ProteinName,GeneName,,
Q68FP9,Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6),Cog6,,
O35780,Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Enhancer-of-split and hairy-related protein 2) (SHARP-2),Bhlhe40,,
O35779,Class E basic helix-loop-helix protein 41 (bHLHe41) (Class B basic helix-loop-helix protein 3) (bHLHb3) (Enhancer-of-split and hairy-related protein 1) (SHARP-1),Bhlhb3,,
O08839,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1),Bin1,,
P25023,B2 bradykinin receptor (B2R) (BK-2 receptor),Bdkrb2,,
Q9R1D1,Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog),Ctcf,,
P49001,Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A),Bmp2,,
D4ABH7,RNA 5'-monophosphate methyltransferase (EC 2.1.1.-) (BCDIN3 domain-containing protein),Bcdin3d,,
P16228,Cathepsin E (EC 3.4.23.34),Ctse,,
Q5PQS7,Coiled-coil domain-containing protein 174,Ccdc174,,
O54858,Carboxypeptidase Z (CPZ) (EC 3.4.17.-),Cpz,,
B1H228,Coiled-coil domain-containing protein 114,Ccdc114,,
Q3ZAV0,Coiled-coil domain-containing protein 60,Ccdc60,,
P60889,Chromobox protein homolog 7,Cbx7,,
Q6QD51,Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes 1 protein) (Steroid-sensitive gene 1 protein) (SSG-1),Ccdc80,,
Q6AY97,Coiled-coil domain-containing protein 91 (GGA-binding partner),Ccdc91,,
Q8VD50,DNA damage-inducible transcript 4-like protein (Soleus muscle atrophied after hindlimb suspension protein 1),Ddit4l,,
P62957,Voltage-dependent calcium channel gamma-7 subunit (Neuronal voltage-gated calcium channel gamma-7 subunit) (Transmembrane AMPAR regulatory protein gamma-7) (TARP gamma-7),Cacng7,,
P01355,Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-39 (CCK39); Cholecystokinin-33 (CCK33); Cholecystokinin-22 (CCK22); Cholecystokinin-12 (CCK12); Cholecystokinin-8 (CCK8)],Cck,,
Q8VHW5,Voltage-dependent calcium channel gamma-8 subunit (Neuronal voltage-gated calcium channel gamma-8 subunit) (Transmembrane AMPAR regulatory protein gamma-8) (TARP gamma-8),Cacng8,,
P30277,G2/mitotic-specific cyclin-B1,Ccnb1,,
Q641Y8,ATP-dependent RNA helicase DDX1 (EC 3.6.4.13) (DEAD box protein 1),Ddx1,,
P39948,G1/S-specific cyclin-D1,Ccnd1,,
Q9R1Q2,Cyclin-L1 (Cyclin-L) (Cyclin Ania-6a),Ccnl1,,
P46892,Cyclin-dependent kinase 11B (Cell division cycle 2-like protein kinase 1) (Cell division protein kinase 11) (Cyclin-dependent kinase 11) (EC 2.7.11.22) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1),Cdk11b,,
Q9JLM2,Natural killer cell receptor 2B4 (NK cell type I receptor protein 2B4) (NKR2B4) (Non-MHC restricted killing associated) (CD antigen CD244),Cd244,,
P97829,Leukocyte surface antigen CD47 (Integrin-associated protein) (IAP) (CD antigen CD47),Cd47,,
Q4V8C8,Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein homolog),Cdc73,,
Q99N34,DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (DNA fragmentation factor 40 kDa subunit) (DFF-40),Dffb,,
Q03114,Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit),Cdk5,,
P21816,Cysteine dioxygenase type 1 (EC 1.13.11.20) (Cysteine dioxygenase type I) (CDO) (CDO-I),Cdo1,,
P32038,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Endogenous vascular elastase) (Properdin factor D),Cfd,,
Q4V8E4,Cilia- and flagella-associated protein 36 (Coiled-coil domain-containing protein 104),Cfap36,,
Q6AXY2,Uncharacterized protein C6orf201 homolog,,,
Q5M888,UPF0415 protein C7orf25 homolog,,,
Q5XIL8,"Dynein intermediate chain 1, axonemal (Axonemal dynein intermediate chain 1)",Dnai1,,
B3STU3,Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1) (Neuroprotective protein 7),Chac1,,
Q9WU49,Calcium-regulated heat stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24),Carhsp1,,
Q6AYU3,DnaJ homolog subfamily B member 6 (Heat shock protein J2) (HSJ-2) (Hsp40 homolog) (MRJ) (MSJ-1),Dnajb6,,
Q5RJQ0,Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST),Chst1,,
Q9QZL2,Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0),Chst3,,
Q9R0T3,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",Dnajc3,,
Q642C0,DnaJ homolog subfamily C member 8,Dnajc8,,
P97531,Cdc42-interacting protein 4 (Salt tolerant protein) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10),Trip10,,
Q68FR2,Bridging integrator 2,Bin2,,
Q5BJQ6,Cleavage stimulation factor subunit 1 (Cleavage stimulation factor 50 kDa subunit) (CSTF 50 kDa subunit) (CstF-50),Cstf1,,
Q9EQH5,C-terminal-binding protein 2 (CtBP2),Ctbp2,,
Q8K589,Bcl-2-modifying factor,Bmf,,
Q78EA7,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Bone morphogenetic protein 4 receptor) (CD antigen CD292),Bmpr1a,,
B2DD29,Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B),Brsk1,,
Q4V8K5,BRO1 domain-containing protein BROX (BRO1 domain- and CAAX motif-containing protein),Brox,,
Q8K1M7,BMP/retinoic acid-inducible neural-specific protein 3,Brinp3,,
Q5PQR3,BTB/POZ domain-containing protein 9,Btbd9,,
O88677,Protein BTG3 (rBTG3) (BTG family member 3),Btg3,,
P31722,Complement C1q subcomponent subunit C,C1qc,,
P27653,"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]",Mthfd1,,
Q5FVH0,Complement C1q tumor necrosis factor-related protein 5,C1qtnf5,,
Q3T1I2,Complement C1q tumor necrosis factor-related protein 6,C1qtnf6,,
P97520,C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88),C5ar1,,
A1L1K4,CDC42 small effector protein 2,Cdc42se2,,
O88480,Calcineurin-binding protein cabin-1 (Calcineurin inhibitor) (CAIN),Cabin1,,
P54283,Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1),Cacnb1,,
Q63315,Cadherin-22 (Pituitary and brain cadherin) (PB-cadherin),Cdh22,,
Q9R0T4,Cadherin-1 (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3],Cdh1,,
Q66HB6,Cancer-associated gene 1 protein homolog (CAGE-1) (Cancer/testis antigen 3 homolog) (CT3 homolog),Cage1,,
O54898,Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1),Cacna1g,,
Q5RJQ8,Calcium homeostasis modulator protein 2 (Protein FAM26B),Calhm2,,
P01256,Calcitonin gene-related peptide 1 (Alpha-type CGRP) (Calcitonin gene-related peptide I) (CGRP-I),Calca,,
P58821,Neuron-specific vesicular protein calcyon,Caly,,
Q4V8Q1,Calpain 11 (EC 3.4.22.-) (Calcium-activated neutral proteinase 11) (CANP 11),Capn11,,
Q8K4Y7,Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog),Cant1,,
Q66H73,Coiled-coil domain-containing protein 82,Ccdc82,,
Q5BJT7,Coiled-coil domain-containing protein 93,Ccdc93,,
Q68FP3,C-C motif chemokine 6 (Small-inducible cytokine A6),Ccl6,,
P97707,"Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma)",Cacng1,,
Q5I0H5,Cyclin-L2,Ccnl2,,
Q4QQW5,Cyclin-Q (CDK10-activating cyclin) (Cyclin-M) (Cyclin-related protein FAM58A),Ccnq,,
O08556,C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (MIP-1 alpha receptor) (CD antigen CD195),Ccr5,,
O54814,C-C chemokine receptor type 3 (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR3) (CD antigen CD193),Ccr3,,
O35112,CD166 antigen (Activated leukocyte cell adhesion molecule) (HB2) (KG-CAM) (Protein MEMD) (SB-10 antigen) (CD antigen CD166),Alcam,,
Q63692,"Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]",Cdc37,,
P10252,CD48 antigen (BCM1 surface antigen) (BLAST-1) (MRC OX-45 surface antigen) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (CD antigen CD48),Cd48,,
Q8CFN2,Cell division control protein 42 homolog,Cdc42,,
Q4V8A2,Cell division cycle protein 27 homolog,Cdc27,,
Q5U2U6,Cell death-inducing p53-target protein 1 (LITAF-like protein),Cdip1,,
O35832,Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3),Cdk18,,
Q4KLH6,Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog),Cep162,,
O35158,Cell adhesion molecule-related/down-regulated by oncogenes,Cdon,,
Q4QQT3,CUGBP Elav-like family member 1 (CELF-1) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (RNA-binding protein BRUNOL-2),Celf1,,
Q561R1,Centromere protein T (CENP-T),Cenpt,,
Q75UQ2,Craniofacial development protein 1 (Bucentaur),Cfdp1,,
Q6AY71,Protein C8orf37 homolog,,,
P97586,Cell growth regulator with EF hand domain protein 1 (Cell growth regulatory gene 11 protein) (Hydrophobestin),Cgref1,,
Q642A4,UPF0598 protein C8orf82 homolog,,,
Q5I0E3,Uncharacterized protein C7orf50 homolog,,,
A0JPQ1,Uncharacterized protein C7orf57 homolog,,,
P02665,Beta-casein,Csn2,,
Q8K4S7,E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B),Cblb,,
P15087,Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H) (CPH) (Enkephalin convertase) (Prohormone-processing carboxypeptidase),Cpe,,
Q4V7B1,Uncharacterized protein C3orf67 homolog,,,
P47727,Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189),Cbr1,,
Q6AXT4,Coiled-coil domain-containing protein 172 (TEKT2-binding protein 1),Ccdc172,,
Q66H60,Coiled-coil domain-containing protein 146,Ccdc146,,
Q6PEB9,Coiled-coil domain-containing protein 127,Ccdc127,,
Q561K4,Coiled-coil domain-containing protein 32,Ccdc32,,
P62521,Coiled-coil domain-containing protein 8,Ccdc8,,
P50231,C-C motif chemokine 5 (SIS-delta) (Small-inducible cytokine A5) (T-cell-specific protein RANTES),Ccl5,,
P50229,C-C motif chemokine 3 (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (Small-inducible cytokine A3),Ccl3,,
P39947,Cyclin-C,Ccnc,,
Q9JK72,Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone),Ccs,,
Q5M845,UPF0462 protein C4orf33 homolog,,,
Q07969,Platelet glycoprotein 4 (Adipocyte membrane protein) (Fatty acid translocase) (Fatty acid transport protein) (Glycoprotein IIIb) (GPIIIB) (PAS IV) (PAS-4) (Platelet glycoprotein IV) (GPIV) (CD antigen CD36),Cd36,,
Q63493,Antigen-presenting glycoprotein CD1d (CD antigen CD1d),Cd1d,,
P31053,Leukocyte antigen CD37 (CD antigen CD37),Cd37,,
P27274,CD59 glycoprotein (MAC-inhibitory protein) (MAC-IP) (Membrane attack complex inhibition factor) (MACIF) (Protectin) (CD antigen CD59),Cd59,,
P08921,T-cell surface antigen CD2 (LFA-2) (LFA-3 receptor) (OX-34 antigen) (T-cell surface antigen T11/Leu-5) (CD antigen CD2),Cd2,,
O70352,CD82 antigen (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82),Cd82,,
Q32ZF3,"Beta-defensin 43 (BD-43) (Defensin, beta 43)",Defb43,,
P0C5I0,Cerebral dopamine neurotrophic factor (ARMET-like protein 1) (Arginine-rich protein mutated in early stage tumors-like 1) (Conserved dopamine neurotrophic factor),Cdnf,,
Q9ERM3,Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase),Dgat1,,
Q4KM34,Cyclin-dependent kinase 20 (EC 2.7.11.22) (Cell cycle-related kinase) (Cell division protein kinase 20),Cdk20,,
A4L9P8,Centrosomal protein of 295 kDa,Cep295,,
Q6AXZ4,Centrosomal protein CEP57L1 (Centrosomal protein 57kDa-like protein 1) (Centrosomal protein of 57 kDa-related protein) (Cep57R) (Cep57-related protein),Cep57l1,,
Q641Z4,Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 9),Cdk9,,
Q63699,Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2),Cdk2,,
P16573,Carcinoembryonic antigen-related cell adhesion molecule 1 (ATP-dependent taurocolate-carrier protein) (Cell-CAM 105) (C-CAM 105) (Ecto-ATPase) (GP110) (pp120) (CD antigen CD66a),Ceacam1,,
Q4V897,"Coiled-coil domain-containing protein 90B, mitochondrial",Ccdc90b,,
Q810U0,Coiled-coil domain-containing protein 50 (Protein Ymer),Ccdc50,,
Q9QZA6,CD151 antigen (Platelet-endothelial tetraspan antigen 3) (PETA-3) (CD antigen CD151),Cd151,,
Q64244,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (CD38H) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (CD antigen CD38),Cd38,,
Q9Z2V2,"CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form]",Cd40lg,,
O08837,Cell division cycle 5-like protein (Cdc5-like protein) (Pombe Cdc5-related protein),Cdc5l,,
Q6YDN7,Anaphase-promoting complex subunit CDC26 (Cell division cycle protein 26 homolog) (Protein BWK-2),Cdc26,,
P05540,T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (W3/25 antigen) (CD antigen CD4),Cd4,,
Q32ZF7,"Beta-defensin 39 (BD-39) (Defensin, beta 39)",Defb39,,
P70500,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase),Cdipt,,
Q792H5,CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Protein ETR-R3) (Neuroblastoma apoptosis-related RNA-binding protein) (rNapor) (RNA-binding protein BRUNOL-3),Celf2,,
Q5XI03,Centrosomal protein of 95 kDa (Cep95) (Coiled-coil domain-containing protein 45),Cep95,,
Q4V8G7,Centromere protein U (CENP-U) (MLF1-interacting protein),Cenpu,,
B4F7A7,Centrosomal protein of 57 kDa (Cep57) (Translokin),Cep57,,
P13635,Ceruloplasmin (EC 1.16.3.1) (Ferroxidase),Cp,,
O08560,Diacylglycerol kinase zeta (DAG kinase zeta) (EC 2.7.1.107) (104 kDa diacylglycerol kinase) (DGK-IV) (Diglyceride kinase zeta) (DGK-zeta),Dgkz,,
Q5BK24,Uncharacterized protein C8orf76 homolog,,,
B2GV17,Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (ATP/GTP-binding protein-like 5),Agbl5,,
Q66H33,Uncharacterized protein C3orf38 homolog,,,
Q5M9G5,Coiled-coil domain-containing protein 117,Ccdc117,,
Q6IRK9,Carboxypeptidase Q (EC 3.4.17.-) (Hematopoietic lineage switch 2 related protein) (Hls2-rp) (Liver annexin-like protein 1) (LAL-1) (Plasma glutamate carboxypeptidase),Cpq,,
Q6AY41,Cell cycle control protein 50A (P4-ATPase flippase complex beta subunit TMEM30A) (Transmembrane protein 30A),Tmem30a,,
Q8VHW1,Voltage-dependent calcium channel gamma-like subunit (Neuronal voltage-gated calcium channel gamma-like subunit) (Transmembrane protein 37),Tmem37,,
P14844,C-C motif chemokine 2 (Immediate-early serum-responsive protein JE) (Monocyte chemoattractant protein 1) (Monocyte chemotactic protein 1) (MCP-1) (Small-inducible cytokine A2),Ccl2,,
Q8K4F8,Cyclin-F,Ccnf,,
P39950,Cyclin-G1 (Cyclin-G),Ccng1,,
Q9R1A0,Cyclin-H,Ccnh,,
P40241,CD9 antigen (CD antigen CD9),Cd9,,
P07448,Dentinal fluid transport-stimulating peptide (DFT-stimulating peptide),,,
Q9R0Z3,Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (p16-INK4a) (p16) (p16-INK4),Cdkn2a,,
Q5XIN9,Coiled-coil domain-containing protein 81,Ccdc81,,
Q5BK06,Cyclin-D1-binding protein 1,Ccndbp1,,
Q71RJ2,Voltage-dependent calcium channel gamma-2 subunit (Neuronal voltage-gated calcium channel gamma-2 subunit) (Stargazin) (Transmembrane AMPAR regulatory protein gamma-2) (TARP gamma-2),Cacng2,,
Q8VHX0,Voltage-dependent calcium channel gamma-3 subunit (Neuronal voltage-gated calcium channel gamma-3 subunit) (Transmembrane AMPAR regulatory protein gamma-3) (TARP gamma-3),Cacng3,,
Q3B8Q1,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),Ddx21,,
Q9QY16,ATP-dependent RNA helicase DDX25 (EC 3.6.4.13) (DEAD box protein 25) (Gonadotropin-regulated testicular RNA helicase),Ddx25,,
Q498U0,Uncharacterized protein C4orf3 homolog,,,
P19377,T-cell surface glycoprotein CD3 delta chain (T-cell receptor T3 delta chain) (CD antigen CD3d),Cd3d,,
P07725,T-cell surface glycoprotein CD8 alpha chain (CD8 antigen 32 kDa chain) (OX-8 membrane antigen) (CD antigen CD8a),Cd8a,,
P05541,T-cell surface glycoprotein CD8 beta chain (CD8 antigen 37 kDa chain) (OX-8 membrane antigen) (CD antigen CD8b),Cd8b,,
Q32ZF8,"Beta-defensin 38 (BD-38) (Defensin, beta 38)",Defb38,,
Q62623,Cell division cycle protein 20 homolog (p55CDC),Cdc20,,
Q63686,Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1),Cdk16,,
P35426,Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3),Cdk4,,
P51952,Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 protein kinase) (P39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (TFIIH basal transcription factor complex kinase subunit) (Fragment),Cdk7,,
P39951,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),Cdk1,,
O35052,Phosphatidate cytidylyltransferase 1 (EC 2.7.7.41) (CDP-DAG synthase 1) (CDP-DG synthase 1) (CDP-diacylglycerol synthase 1) (CDS 1) (CDP-diglyceride pyrophosphorylase 1) (CDP-diglyceride synthase 1) (CTP:phosphatidate cytidylyltransferase 1),Cds1,,
B2RZ50,Cyclin-dependent kinase inhibitor 3 (EC 3.1.3.16) (EC 3.1.3.48) (CDK2-associated dual-specificity phosphatase) (Kinase-associated phosphatase),Cdkn3,,
Q4KLY0,Centrosomal protein of 63 kDa (Cep63),Cep63,,
Q9QZX9,Centrosomal protein of 19 kDa (Cep19),Cep19,,
Q6AY64,UPF0669 protein C6orf120 homolog,,,
Q499T7,Cilia- and flagella-associated protein 20 (Gene trap locus 3 protein homolog),Cfap20,,
P51556,Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha),Dgka,,
Q5XI32,F-actin-capping protein subunit beta (CapZ beta),Capzb,,
P04762,Catalase (EC 1.11.1.6),Cat,,
Q9Z1H9,Caveolae-associated protein 3 (Cavin-3) (D3T-inducible gene 2 protein) (DIG-2) (Dithiolethione-inducible gene 2 protein) (Protein kinase C delta-binding protein) (Serum deprivation response factor-related gene product that binds to C-kinase),Cavin3,,
Q9EQV8,Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit),Cpn1,,
P32232,Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Hemoprotein H-450) (Serine sulfhydrase),Cbs,,
Q5FVL4,Coiled-coil domain-containing protein 153,Ccdc153,,
Q5U2X6,Coiled-coil domain-containing protein 47,Ccdc47,,
Q8K4I6,"Protein chibby homolog 1 (Cytosolic leucine-rich protein) (PIGEA-14) (PKD2 interactor, Golgi and endoplasmic reticulum-associated 1)",Cby1,,
Q5PPN7,Coiled-coil domain-containing protein 51,Ccdc51,,
P30551,Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R),Cckar,,
Q6AY31,Uncharacterized protein C4orf36 homolog,,,
Q07490,Signal transducer CD24 (Heat-stable antigen) (HSA) (Nectadrin) (CD antigen CD24),Cd24,,
P24485,Leukocyte surface antigen CD53 (Cell surface glycoprotein CD53) (Leukocyte antigen MRC OX-44) (CD antigen CD53),Cd53,,
Q5XIC3,Hsp90 co-chaperone Cdc37-like 1,Cdc37l1,,
P51882,T-cell surface glycoprotein CD5 (CD antigen CD5),Cd5,,
Q62745,CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (CD antigen CD81),Cd81,,
P26051,CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44),Cd44,,
Q4KM47,Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10),Cdk10,,
Q7TS56,Carbonyl reductase family member 4 (EC 1.-.-.-) (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit) (KAR beta subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Quinone reductase CBR4),Cbr4,,
